Industries,Year,Total Employees
Machinery,2014,"1,123,000"
Computer and electronic products,2014,"1,050,000"
"Electrical equipment, appliances, and components",2014,"379,000"
"Motor vehicles, bodies and trailers, and parts",2014,"871,000"
Other transportation equipment,2014,"683,000"
Furniture and related products,2014,"370,000"
Miscellaneous manufacturing,2014,"588,000"
Food and beverage and tobacco products,2014,"1,703,000"
Textile mills and textile product mills,2014,"235,000"
Apparel and leather and allied products,2014,"170,000"
Paper products,2014,"373,000"
Printing and related support activities,2014,"453,000"
Petroleum and coal products,2014,"110,000"
Chemical products,2014,"802,000"
Plastics and rubber products,2014,"674,000"
Motor vehicle and parts dealers,2014,"1,875,000"
Food and beverage stores,2014,"3,024,000"
General merchandise stores,2014,"3,129,000"
Other retail2,2014,"7,434,000"
Air transportation,2014,"452,000"
Rail transportation,2014,"204,000"
Water transportation,2014,"69,000"
Truck transportation,2014,"1,446,000"
Transit and ground passenger transportation,2014,"477,000"
Pipeline transportation,2014,"47,000"
Other transportation and support activities3,2014,"1,232,000"
Warehousing and storage,2014,"749,000"
Publishing industries (includes software),2014,"848,000"
Motion picture and sound recording industries,2014,"388,000"
Broadcasting and telecommunications,2014,"1,134,000"
Information and data processing services,2014,"377,000"
"Federal Reserve banks, credit intermediation, and related activities",2014,"2,583,000"
"Securities, commodity contracts, and investments",2014,"884,000"
Insurance carriers and related activities,2014,"2,477,000"
"Funds, trusts, and other financial vehicles",2014,"6,000"
Real estate,2014,"1,518,000"
Rental and leasing services and lessors of intangible assets4,2014,"556,000"
Legal services,2014,"1,134,000"
Computer systems design and related services,2014,"1,801,000"
"Miscellaneous professional, scientific, and technical services5",2014,"5,507,000"
Management of companies and enterprises6,2014,"2,152,000"
Administrative and support services,2014,"8,245,000"
Waste management and remediation services,2014,"388,000"
Educational services,2014,"3,467,000"
Ambulatory health care services,2014,"6,659,000"
Hospitals,2014,"4,762,000"
Nursing and residential care facilities,2014,"3,292,000"
Social assistance,2014,"3,441,000"
"Performing arts, spectator sports, museums, and related activities",2014,"613,000"
"Amusements, gambling, and recreation industries",2014,"1,559,000"
Accommodation,2014,"1,891,000"
Food services and drinking places,2014,"10,720,000"
"Other services, except government",2014,"7,041,000"
Farms,2015,"817,000"
"Forestry, fishing, and related activities",2015,"623,000"
Oil and gas extraction,2015,"196,000"
"Mining, except oil and gas",2015,"197,000"
Support activities for mining,2015,"358,000"
 Utilities,2015,"555,000"
 Construction,2015,"6,613,000"
Wood products,2015,"381,000"
Nonmetallic mineral products,2015,"398,000"
 Primary metals,2015,"393,000"
Fabricated metal products,2015,"1,456,000"
Machinery,2015,"1,118,000"
Computer and electronic products,2015,"1,055,000"
"Electrical equipment, appliances, and components",2015,"382,000"
"Motor vehicles, bodies and trailers, and parts",2015,"917,000"
Other transportation equipment,2015,"693,000"
Furniture and related products,2015,"381,000"
Miscellaneous manufacturing,2015,"590,000"
Food and beverage and tobacco products,2015,"1,742,000"
Textile mills and textile product mills,2015,"234,000"
Apparel and leather and allied products,2015,"166,000"
Paper products,2015,"372,000"
Printing and related support activities,2015,"450,000"
Petroleum and coal products,2015,"110,000"
Chemical products,2015,"808,000"
Plastics and rubber products,2015,"688,000"
Motor vehicle and parts dealers,2015,"1,950,000"
Food and beverage stores,2015,"3,092,000"
General merchandise stores,2015,"3,188,000"
Other retail2,2015,"7,548,000"
Air transportation,2015,"464,000"
Rail transportation,2015,"207,000"
Water transportation,2015,"68,000"
Truck transportation,2015,"1,480,000"
Transit and ground passenger transportation,2015,"487,000"
Pipeline transportation,2015,"49,000"
Other transportation and support activities3,2015,"1,302,000"
Warehousing and storage,2015,"834,000"
Publishing industries (includes software),2015,"862,000"
Motion picture and sound recording industries,2015,"412,000"
Broadcasting and telecommunications,2015,"1,088,000"
Information and data processing services,2015,"410,000"
"Federal Reserve banks, credit intermediation, and related activities",2015,"2,585,000"
"Securities, commodity contracts, and investments",2015,"907,000"
Insurance carriers and related activities,2015,"2,570,000"
"Funds, trusts, and other financial vehicles",2015,"7,000"
Real estate,2015,"1,568,000"
Rental and leasing services and lessors of intangible assets4,2015,"569,000"
Legal services,2015,"1,135,000"
Computer systems design and related services,2015,"1,919,000"
"Miscellaneous professional, scientific, and technical services5",2015,"5,665,000"
Management of companies and enterprises6,2015,"2,195,000"
Administrative and support services,2015,"8,474,000"
Waste management and remediation services,2015,"400,000"
Educational services,2015,"3,540,000"
Ambulatory health care services,2015,"6,880,000"
Hospitals,2015,"4,889,000"
Nursing and residential care facilities,2015,"3,311,000"
Social assistance,2015,"3,564,000"
"Performing arts, spectator sports, museums, and related activities",2015,"619,000"
"Amusements, gambling, and recreation industries",2015,"1,573,000"
Accommodation,2015,"1,930,000"
Food services and drinking places,2015,"11,103,000"
"Other services, except government",2015,"7,081,000"
Farms,2016,"820,000"
"Forestry, fishing, and related activities",2016,"627,000"
Oil and gas extraction,2016,"175,000"
"Mining, except oil and gas",2016,"180,000"
Support activities for mining,2016,"255,000"
 Utilities,2016,"555,000"
 Construction,2016,"6,883,000"
Wood products,2016,"391,000"
Nonmetallic mineral products,2016,"407,000"
 Primary metals,2016,"374,000"
Fabricated metal products,2016,"1,419,000"
Machinery,2016,"1,073,000"
Computer and electronic products,2016,"1,048,000"
"Electrical equipment, appliances, and components",2016,"382,000"
"Motor vehicles, bodies and trailers, and parts",2016,"945,000"
Other transportation equipment,2016,"682,000"
Furniture and related products,2016,"391,000"
Miscellaneous manufacturing,2016,"592,000"
Food and beverage and tobacco products,2016,"1,798,000"
Textile mills and textile product mills,2016,"230,000"
Apparel and leather and allied products,2016,"159,000"
Paper products,2016,"370,000"
Printing and related support activities,2016,"448,000"
Petroleum and coal products,2016,"111,000"
Chemical products,2016,"813,000"
Plastics and rubber products,2016,"702,000"
Motor vehicle and parts dealers,2016,"1,996,000"
Food and beverage stores,2016,"3,110,000"
General merchandise stores,2016,"3,222,000"
Other retail2,2016,"7,632,000"
Air transportation,2016,"478,000"
Rail transportation,2016,"190,000"
Water transportation,2016,"66,000"
Truck transportation,2016,"1,474,000"
Transit and ground passenger transportation,2016,"491,000"
Pipeline transportation,2016,"49,000"
Other transportation and support activities3,2016,"1,344,000"
Warehousing and storage,2016,"933,000"
Publishing industries (includes software),2016,"874,000"
Motion picture and sound recording industries,2016,"448,000"
Broadcasting and telecommunications,2016,"1,073,000"
Information and data processing services,2016,"422,000"
"Federal Reserve banks, credit intermediation, and related activities",2016,"2,627,000"
"Securities, commodity contracts, and investments",2016,"922,000"
Insurance carriers and related activities,2016,"2,594,000"
"Funds, trusts, and other financial vehicles",2016,"10,000"
Real estate,2016,"1,597,000"
Rental and leasing services and lessors of intangible assets4,2016,"575,000"
Legal services,2016,"1,140,000"
Computer systems design and related services,2016,"1,987,000"
"Miscellaneous professional, scientific, and technical services5",2016,"5,804,000"
Management of companies and enterprises6,2016,"2,234,000"
Administrative and support services,2016,"8,644,000"
Waste management and remediation services,2016,"402,000"
Educational services,2016,"3,606,000"
Ambulatory health care services,2016,"7,096,000"
Hospitals,2016,"5,009,000"
Nursing and residential care facilities,2016,"3,375,000"
Social assistance,2016,"3,724,000"
"Performing arts, spectator sports, museums, and related activities",2016,"641,000"
"Amusements, gambling, and recreation industries",2016,"1,640,000"
Accommodation,2016,"1,951,000"
Food services and drinking places,2016,"11,469,000"
"Other services, except government",2016,"7,061,000"
Farms,2017,"819,000"
"Forestry, fishing, and related activities",2017,"632,000"
Oil and gas extraction,2017,"144,000"
"Mining, except oil and gas",2017,"185,000"
Support activities for mining,2017,"293,000"
 Utilities,2017,"553,000"
 Construction,2017,"7,127,000"
Wood products,2017,"398,000"
Nonmetallic mineral products,2017,"411,000"
 Primary metals,2017,"370,000"
Fabricated metal products,2017,"1,422,000"
Machinery,2017,"1,076,000"
Computer and electronic products,2017,"1,044,000"
"Electrical equipment, appliances, and components",2017,"386,000"
"Motor vehicles, bodies and trailers, and parts",2017,"972,000"
Other transportation equipment,2017,"678,000"
Furniture and related products,2017,"395,000"
Miscellaneous manufacturing,2017,"595,000"
Food and beverage and tobacco products,2017,"1,858,000"
Textile mills and textile product mills,2017,"229,000"
Apparel and leather and allied products,2017,"149,000"
Paper products,2017,"368,000"
Printing and related support activities,2017,"441,000"
Petroleum and coal products,2017,"113,000"
Chemical products,2017,"823,000"
Plastics and rubber products,2017,"715,000"
Motor vehicle and parts dealers,2017,"2,019,000"
Food and beverage stores,2017,"3,119,000"
General merchandise stores,2017,"3,130,000"
Other retail2,2017,"7,720,000"
Air transportation,2017,"497,000"
Rail transportation,2017,"183,000"
Water transportation,2017,"65,000"
Truck transportation,2017,"1,481,000"
Transit and ground passenger transportation,2017,"494,000"
