CAINC4 Personal Income and Employment by Major Component,,,,,,,,,
Per capita personal income (Dollars) 4/ ,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,
County,,,,,,,,,
GeoFips,GeoName,2011,2012,2013,2014,2015,2016,2017,2018
2158,"Kusilvak Census Area, AK*",26928,27642,26406,29657,28803,29979,29838,30099
2164,"Lake and Peninsula Borough, AK*",46379,51676,51991,53634,56325,54510,61219,65414
2170,"Matanuska-Susitna Borough, AK",42918,43983,43824,45608,46936,44520,44043,45897
2180,"Nome Census Area, AK*",42227,43307,42958,47202,48235,48001,49518,51378
2185,"North Slope Borough, AK",62124,74129,85089,97028,99377,89281,84340,83489
2188,"Northwest Arctic Borough, AK",39193,40226,39569,43082,43451,43886,44861,47854
2195,"Petersburg Borough, AK*",53880,55992,63343,64737,66619,64029,66703,69995
2198,"Prince of Wales-Hyder Census Area, AK*",34727,36061,36395,38573,39885,39834,41456,43707
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2220,"Sitka City and Borough, AK",58608,61775,65038,66157,68288,63572,67771,71972
2230,"Skagway Municipality, AK*",76295,88073,83720,81510,73124,74760,76785,81471
2231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2240,"Southeast Fairbanks Census Area, AK*",43074,42221,43139,45248,47490,46700,47449,49398
2261,"Valdez-Cordova Census Area, AK*",51443,53738,50787,55969,58666,57309,59736,62307
2275,"Wrangell City and Borough, AK*",41534,42857,42811,46562,47656,44956,44963,47658
2280,"Wrangell-Petersburg Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2282,"Yakutat City and Borough, AK*",53540,57274,66152,65160,60934,54406,55783,58937
2290,"Yukon-Koyukuk Census Area, AK*",46320,48631,47528,50954,50543,53871,54874,59010
2901,"Aleutian Islands Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2903,"Angoon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2904,"Barrow-North Slope Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2905,"Bethel Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2907,"Bristol Bay Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2908,"Cordova-McCarthy Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2910,"Haines Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2912,"Kenai-Cook Inlet Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2916,"Kuskokwim Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2919,"Outer Ketchikan Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2920,"Prince of Wales Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
